,Name,Type,FrequentWord
0,Peace -N- Hominy Q Shack,Food services,"[('good', 103), ('food', 100), ('great', 100), ('bbq', 98), ('pork', 85), ('pulled', 63), ('friendly', 60), ('brisket', 59), ('service', 48), ('staff', 42), ('menu', 39), ('try', 39), ('slaw', 38), ('sauce', 37), ('time', 36)]"
1,Johnny B's Pizza Pad & Watering Hole,Food services,"[('pizza', 58), ('good', 31), ('great', 15), ('crust', 13), ('sauce', 13), ('service', 12), ('johnny', 12), ('food', 11), ('pretzel', 11), ('best', 11), (""b's"", 11), ('wings', 11), ('toppings', 10), ('salad', 9), ('friendly', 8)]"
2,The String Bean,Food services,"[('food', 129), ('great', 125), ('beer', 94), ('good', 94), ('fries', 78), ('bean', 69), ('service', 66), ('time', 62), ('string', 61), ('menu', 59), ('selection', 58), ('like', 57), ('belmont', 49), ('wine', 48), ('fried', 43)]"
3,South Main Cycles,sports services,"[('bike', 11), ('shop', 7), ('bar', 7), ('great', 7), ('beer', 6), ('steve', 3), ('main', 3), ('good', 3), ('new', 3), ('super', 3), ('south', 3), ('cycling', 3), ('center', 3), ('wheel', 3), ('bikes', 2)]"
4,Swerve Salon & Rejuvenation Studio,Grooming services,"[('hair', 9), ('swerve', 8), ('like', 7), ('great', 7), ('salon', 6), ('day', 5), ('experience', 5), ('pedicure', 5), ('sure', 4), ('makeup', 4), ('face', 4), (""we've"", 3), ('stylist', 3), ('did', 3), ('uncomfortable', 3)]"
5,Walgreens,Grooming services,"[('pharmacy', 4), ('manager', 3), ('prescriptions', 3), ('prescription', 3), ('store', 3), ('doctor', 3), ('pretty', 2), ('happened', 2), ('medicine', 2), ('day', 2), ('did', 2), ('went', 2), ('written', 2), ('filled', 2), ('received', 2)]"
6,Lavender Nails Spa,Grooming services,"[('nails', 16), ('salon', 7), ('clean', 7), ('time', 7), ('nail', 6), ('pedicure', 6), ('like', 5), ('great', 5), ('lavender', 4), ('away', 4), ('told', 4), ('feet', 4), ('look', 4), (""didn't"", 4), ('manicure', 3)]"
7,Sammy's Deli & Neighborhood Pub,Bars and lounges,"[('good', 81), ('food', 62), ('great', 62), ('beer', 43), ('service', 36), ('friendly', 28), (""sammy's"", 27), ('selection', 27), ('belmont', 23), ('like', 23), ('love', 21), ('burger', 21), ('bar', 19), ('pub', 19), ('better', 18)]"
8,Glenway Premium Pub,Bars and lounges,"[('great', 49), ('food', 39), ('good', 31), ('beer', 27), ('service', 22), ('selection', 17), ('bar', 14), ('nice', 14), ('salad', 13), ('belmont', 13), ('chicken', 12), ('sandwich', 11), ('favorite', 11), ('better', 10), ('pub', 10)]"
9,Muddy River Distillery,Bars and lounges,"[('tour', 16), ('rum', 12), ('tasting', 9), ('owners', 8), ('great', 8), ('friendly', 6), ('worth', 6), ('definitely', 6), ('time', 6), ('shot', 5), ('informative', 5), ('river', 5), ('distillery', 5), ('glass', 5), ('fun', 5)]"
