,Name,Type,FrequentWord
0,Amélie's French Bakery,Food services,"[(""amelie's"", 493), ('good', 471), ('great', 470), ('coffee', 397), ('pastries', 394), ('love', 386), ('like', 384), ('caramel', 350), ('salted', 323), ('food', 317), ('charlotte', 315), ('time', 314), ('french', 297), ('line', 288), ('brownie', 276)]"
1,Heist Brewery,Food services,"[('beer', 537), ('food', 443), ('good', 385), ('great', 292), ('heist', 248), ('like', 224), ('brunch', 204), ('menu', 181), ('brewery', 176), ('beers', 170), ('time', 161), ('cheese', 154), ('service', 146), ('bar', 126), ('try', 117)]"
2,VBGB Beer Hall and Garden,Food services,"[('beer', 436), ('food', 251), ('great', 242), ('good', 213), ('bar', 198), ('like', 112), ('selection', 109), ('games', 108), ('pretzel', 105), ('time', 103), ('vbgb', 99), ('beers', 88), ('cheese', 88), ('night', 79), ('patio', 75)]"
3,Levine Children's Hospital,Medical services,"[('hospital', 12), ('room', 10), ('staff', 10), ('child', 9), ('like', 9), ('tv', 8), ('floor', 8), ('great', 7), ('cafeteria', 6), ('food', 5), ('need', 5), ('rooms', 5), ('hours', 4), ('levine', 4), ('needs', 4)]"
4,Community Blood Center of the Carolinas,Medical services,"[('blood', 13), ('staff', 9), ('time', 8), ('donating', 7), ('donation', 7), ('platelets', 5), (""i've"", 5), ('donate', 4), ('donated', 4), ('going', 4), ('hour', 4), ('need', 4), (""don't"", 3), ('cold', 3), ('friendly', 3)]"
5,Balance By Touch Massage & Rehabiliatation,Medical services,"[('massage', 56), ('therapist', 19), ('room', 18), (""didn't"", 15), ('office', 12), ('like', 12), ('therapists', 12), ('great', 11), ('experience', 11), (""i've"", 11), ('people', 10), ('pressure', 10), ('good', 9), ('went', 9), ('feel', 9)]"
6,"The Ritz-Carlton, Charlotte",Hospitality services,"[('ritz', 107), ('room', 94), ('hotel', 91), ('service', 69), ('nice', 59), ('bar', 48), ('great', 48), ('charlotte', 42), ('like', 42), ('stay', 41), ('staff', 38), ('spa', 35), ('lobby', 35), ('rooms', 35), ('experience', 33)]"
7,The Ballantyne Hotel & Lodge,Hospitality services,"[('hotel', 76), ('room', 42), ('great', 42), ('service', 41), ('tea', 41), ('spa', 37), ('staff', 37), ('experience', 30), ('good', 30), ('nice', 28), ('beautiful', 27), ('ballantyne', 26), ('restaurant', 26), ('golf', 25), (""didn't"", 24)]"
8,Omni Charlotte Hotel,Hospitality services,"[('hotel', 185), ('room', 175), ('omni', 94), ('stay', 78), ('great', 75), ('rooms', 72), ('charlotte', 68), ('service', 64), ('night', 64), ('nice', 61), ('staff', 60), ('location', 57), ('stayed', 55), ('time', 50), ('good', 50)]"
9,Bank of America Stadium,sports services,"[('stadium', 197), ('game', 96), ('panthers', 74), ('great', 64), ('good', 50), ('food', 41), ('fans', 35), ('games', 34), ('time', 33), ('nice', 33), (""i've"", 31), ('seats', 30), ('beer', 27), ('people', 27), ('pretty', 27)]"
10,US National Whitewater Center,sports services,"[('rafting', 243), ('day', 216), ('great', 201), ('time', 190), ('water', 172), ('fun', 166), ('activities', 143), ('zip', 127), ('like', 116), ('pass', 115), ('whitewater', 110), ('food', 99), ('center', 97), ('good', 91), ('line', 90)]"
11,Reedy Creek Park,sports services,"[('park', 85), ('trails', 40), ('dog', 33), ('great', 26), ('course', 19), ('nature', 18), ('creek', 18), ('area', 18), ('reedy', 17), ('dogs', 17), ('charlotte', 16), ('golf', 16), ('disc', 14), ('pretty', 13), ('hiking', 13)]"
12,Fade Factory Barbershop,Grooming services,"[('great', 16), ('barber', 9), ('cut', 8), ('service', 8), ('shop', 7), ('haircut', 6), ('hair', 6), ('tara', 6), ('fade', 5), ('town', 5), ('factory', 5), ('definitely', 5), ('best', 4), ('new', 4), ('job', 4)]"
13,Ulta Beauty,Grooming services,"[('ulta', 32), ('hair', 18), ('store', 16), ('location', 15), ('products', 13), ('want', 12), ('great', 11), ('new', 11), ('like', 11), ('service', 10), ('salon', 9), (""you're"", 9), ('sure', 9), ('staff', 9), ('cut', 9)]"
14,Polished Nail Bar,Grooming services,"[('nail', 60), ('nails', 56), ('pedicure', 45), ('did', 39), ('manicure', 37), ('service', 37), ('time', 35), ('polished', 31), ('polish', 29), ('going', 28), (""i'm"", 24), ('good', 24), ('great', 24), ('like', 24), ('bar', 22)]"
15,Crave Dessert Bar,Bars and lounges,"[('great', 188), ('crave', 170), ('good', 169), ('hookah', 160), ('dessert', 143), ('time', 142), ('night', 138), ('bar', 130), ('drinks', 126), ('desserts', 115), ('service', 111), ('like', 101), ('food', 95), ('ordered', 81), ('nice', 77)]"
16,Whiskey Warehouse,Bars and lounges,"[('food', 184), ('great', 156), ('bar', 149), ('good', 149), ('whiskey', 109), ('service', 97), ('rooftop', 78), ('like', 78), ('wings', 75), ('time', 71), ('drinks', 70), ('warehouse', 66), ('pretty', 60), ('drink', 60), ('nice', 56)]"
17,Whisky River ,Bars and lounges,"[('bar', 127), ('food', 97), ('good', 89), ('great', 69), ('bull', 67), ('time', 66), ('like', 66), ('night', 60), ('drinks', 56), ('river', 55), ('music', 51), ('dance', 50), (""didn't"", 50), ('service', 48), ('people', 48)]"
18,Spectrum Center,Entertainment services,"[('arena', 185), ('time', 86), ('great', 81), ('seats', 77), ('game', 69), ('food', 59), ('parking', 53), ('like', 53), ('good', 47), ('people', 46), ('event', 46), ('nice', 46), ('level', 41), ('staff', 41), ('bobcats', 40)]"
19,Regal Cinemas Stonecrest at Piper Glen 22 & IMAX,Entertainment services,"[('theater', 110), ('movie', 101), ('popcorn', 49), (""don't"", 40), ('seats', 36), ('theaters', 35), ('good', 35), ('movies', 34), ('regal', 33), ('nice', 32), ('time', 31), ('imax', 31), ('clean', 30), ('parking', 28), ('ticket', 28)]"
20,Queen City Brewers Festival,Entertainment services,"[('beer', 23), ('great', 18), ('event', 14), ('breweries', 14), ('festival', 12), ('food', 12), ('beers', 11), ('like', 9), ('charlotte', 8), ('lots', 7), ('vendors', 7), ('time', 7), ('venue', 5), ('music', 5), ('good', 5)]"
21,SouthPark Mall,"Shops, stores and markets","[('mall', 382), ('stores', 178), ('like', 109), ('great', 83), ('food', 73), ('parking', 70), ('charlotte', 70), ('shopping', 69), ('store', 61), ('nice', 59), ('southpark', 52), ('end', 51), ('court', 50), ('shop', 49), ('people', 48)]"
22,IKEA,"Shops, stores and markets","[('ikea', 473), ('furniture', 202), ('store', 168), ('like', 143), ('good', 116), ('great', 116), ('food', 114), ('time', 107), ('home', 102), ('items', 101), ('love', 97), (""don't"", 87), ('shopping', 79), ('cheap', 78), (""i'm"", 74)]"
23,Target,"Shops, stores and markets","[('target', 185), ('parking', 87), ('store', 57), ('location', 50), ('like', 46), (""don't"", 36), ('love', 34), ('need', 34), ('shopping', 32), ('good', 31), ('great', 31), ('service', 27), ('deck', 25), ('time', 25), ('park', 24)]"
24,Apple,IT services,"[('apple', 163), ('store', 161), ('phone', 93), ('appointment', 65), ('service', 58), ('new', 54), ('time', 40), ('iphone', 39), ('products', 37), ('help', 36), ('customer', 35), ('genius', 33), ('minutes', 32), ('told', 31), ('make', 31)]"
25,Apple Store,IT services,"[('store', 66), ('apple', 54), ('phone', 36), ('service', 26), ('new', 22), ('ipad', 20), ('time', 20), ('appointment', 17), ('told', 16), ('customer', 16), ('iphone', 15), ('experience', 14), ('asked', 14), ('did', 12), ('employees', 12)]"
26,Fairpoint Communications,IT services,"[('company', 11), ('service', 9), ('business', 8), ('fairpoint', 7), ('new', 6), ('review', 5), ('people', 4), ('said', 4), ('phone', 4), ('say', 4), ('office', 3), ('issues', 3), ('hope', 3), ('day', 3), ('billing', 3)]"
27,PetSmart,Pet services,"[('dog', 39), ('grooming', 22), ('pet', 20), ('store', 18), ('location', 18), ('staff', 15), ('puppy', 15), ('training', 14), ('dogs', 14), ('like', 14), ('time', 13), (""i'm"", 12), ('petsmart', 12), ('great', 11), ('experience', 11)]"
28,Canine Cafe,Pet services,"[('dog', 71), ('treats', 56), ('dogs', 31), ('cafe', 23), ('great', 22), ('birthday', 21), ('store', 20), ('canine', 19), ('like', 19), ('love', 17), ('friendly', 16), ('pup', 15), ('cake', 15), ('bakery', 14), (""don't"", 14)]"
29,Petco,Pet services,"[('store', 13), ('petco', 9), ('small', 8), (""don't"", 8), ('food', 8), ('selection', 7), ('new', 6), ('dog', 6), ('fish', 5), ('stores', 5), ('trader', 5), ('pet', 5), ('buy', 5), ('need', 4), ('sure', 4)]"
30,Autobell Car Wash,Automobile parts and supplies,"[('car', 63), ('wash', 28), ('like', 15), ('job', 14), ('autobell', 14), ('time', 14), ('nice', 13), ('clean', 12), ('great', 11), (""don't"", 11), ('auto', 11), (""i've"", 11), ('service', 10), ('bell', 10), ('left', 9)]"
