,Name,Type,FrequentWord
0,Twin Peaks,Food services,"[('food', 93), ('good', 82), ('service', 56), ('beer', 46), ('great', 45), ('like', 38), ('time', 36), ('twin', 33), ('waitress', 32), ('peaks', 31), ('bar', 30), ('hooters', 28), ('cold', 27), ('pretty', 27), ('nice', 26)]"
1,Dave & Buster's,Food services,"[('food', 94), ('games', 84), ('time', 56), ('like', 44), ('good', 40), ('game', 40), ('fun', 35), ('service', 32), ('drinks', 32), ('play', 31), ('came', 30), ('bowling', 29), ('great', 26), ('dave', 25), (""didn't"", 25)]"
2,Razzoo's Cajun Cafe,Food services,"[('food', 220), ('good', 202), ('great', 140), ('cajun', 129), ('shrimp', 114), ('service', 97), ('like', 91), ('fried', 83), ('crawfish', 72), ('time', 61), ('ordered', 61), ('try', 58), ('menu', 57), (""razzoo's"", 54), ('fish', 51)]"
3,Sears Optical,Medical services,"[('contacts', 13), ('wait', 8), ('said', 7), ('told', 6), ('prescription', 6), ('glasses', 6), ('waiting', 5), ('phone', 5), ('wrong', 5), ('sears', 5), ('way', 5), ('called', 5), ('eye', 4), ('customer', 4), (""didn't"", 4)]"
4,"Stacy Lesley, DDS",Medical services,"[('practice', 4), ('dr', 4), ('business', 3), ('lesley', 3), ('times', 2), ('family', 2), ('reached', 2), ('regards', 2), ('personnel', 2), ('forget', 1), (""don't"", 1), ('doctors', 1), ('telling', 1), ('reschedule', 1), ('(i', 1)]"
5,Target Optical,Medical services,"[('appointment', 8), ('eye', 7), ('exams', 5), ('lenses', 4), ('insurance', 4), ('tell', 4), ('contacts', 4), ('aaa', 3), ('exam', 3), ('$79', 3), ('plus', 3), ('visit', 3), ('eyes', 3), ('called', 3), ('eyeglasses', 2)]"
6,Great Wolf Lodge,Hospitality services,"[('water', 221), ('kids', 215), ('room', 161), ('park', 150), ('great', 137), ('time', 123), ('food', 89), ('fun', 82), ('good', 79), ('family', 65), ('day', 64), ('pool', 62), ('like', 61), ('area', 60), ('lodge', 60)]"
7,Sleep Inn & Suites at Concord Mills,Hospitality services,"[('room', 7), ('fine', 4), ('beds', 4), ('staff', 3), (""can't"", 3), ('comfortable', 3), ('breakfast', 3), ('stay', 3), ('clean', 3), ('sleep', 2), ('rooms', 2), ('walls', 2), ('morning', 2), ('night', 2), ('told', 2)]"
8,Hilton Garden Inn Charlotte/Concord,Hospitality services,"[('hotel', 23), ('clean', 13), ('room', 12), ('great', 10), ('stay', 9), ('good', 8), ('nice', 8), ('family', 7), ('staff', 7), ('desk', 7), ('stayed', 6), ('service', 6), ('like', 6), ('friendly', 5), ('new', 5)]"
9,Bass Pro Shop,sports services,"[('fishing', 12), ('store', 11), ('gear', 11), ('bass', 9), ('pro', 9), ('fish', 8), ('need', 8), ('shop', 8), ('good', 8), ('hunting', 7), (""i'm"", 7), ('like', 7), ('love', 6), ('selection', 6), ('staff', 6)]"
10,Nike Factory Store,sports services,"[('shoes', 15), ('store', 12), ('nike', 7), ('prices', 6), ('shoe', 5), ('help', 4), (""don't"", 4), ('staff', 4), ('deals', 4), ('stores', 3), ('clearance', 3), ('like', 3), ('box', 3), (""i'm"", 3), ('wall', 3)]"
11,Academy Sports,sports services,"[(""don't"", 7), ('store', 7), ('academy', 5), ('usually', 4), ('sports', 4), ('help', 3), ('manager', 3), ('prices', 3), ('customer', 3), ('golf', 2), ('rooms', 2), ('program', 2), ('dressing', 2), ('employee', 2), ('good', 2)]"
12,Spa Botanica,Grooming services,"[('mani', 5), ('job', 4), ('great', 4), ('massage', 4), ('salon', 3), ('policy', 3), ('dr', 3), ('said', 3), (""won't"", 2), ('rooms', 2), ('staff', 2), ('late', 2), ('easily', 2), ('did', 2), ('ring', 2)]"
13,Viva Nails & Spa,Grooming services,"[('nails', 37), ('time', 23), ('salon', 22), ('did', 21), ('nail', 21), ('waited', 21), ('minutes', 19), ('wait', 18), ('service', 17), ('come', 16), ('came', 15), ('polish', 15), ('great', 14), ('manicure', 14), ('pedicure', 14)]"
14,Glamour Nails,Grooming services,"[('nails', 15), ('polish', 7), ('manicure', 6), ('did', 5), (""don't"", 4), ('difference', 4), ('gel', 4), ('bc', 4), ('wanted', 4), ('lol', 4), (""i'm"", 4), ('asked', 4), ('point', 4), ('nice', 4), ('time', 4)]"
15,Cabarrus Brewing Company,Bars and lounges,"[('beer', 55), ('great', 28), ('food', 28), ('good', 21), ('brewery', 16), ('concord', 15), ('cabarrus', 15), ('nice', 14), ('large', 12), ('beers', 12), ('order', 12), ('pretty', 12), ('tap', 11), ('people', 11), ('ale', 10)]"
16,Pippa's Cafe,Bars and lounges,"[('food', 54), ('good', 40), ('great', 38), ('bar', 31), ('service', 28), ('wings', 19), ('beer', 17), ('like', 16), ('sports', 15), ('local', 14), ('menu', 13), ('area', 13), ('friendly', 12), ('order', 12), ('love', 12)]"
17,Lil Robert's Place,Bars and lounges,"[('beer', 20), ('great', 18), ('bar', 12), ('music', 11), ('concord', 10), ('selection', 10), ('craft', 10), ('beers', 8), ('food', 8), ('looking', 7), ('local', 7), ('like', 7), ('pretty', 6), ('night', 6), ('cool', 5)]"
18,Charlotte Motor Speedway,Entertainment services,"[('race', 65), ('track', 63), ('speedway', 46), ('nascar', 40), ('time', 35), ('charlotte', 34), ('tour', 26), ('tickets', 25), ('motor', 25), ('great', 24), ('cars', 23), ('experience', 23), ('suite', 23), ('bring', 22), ('fan', 20)]"
19,AMC Concord Mills 24,Entertainment services,"[('theater', 68), ('movie', 45), ('theaters', 26), ('movies', 24), ('clean', 20), ('prices', 19), ('amc', 18), ('great', 17), ('popcorn', 17), ('like', 17), (""don't"", 16), ('good', 16), ('concord', 14), ('seats', 14), ('mall', 13)]"
20,zMAX Dragway,Entertainment services,"[('drag', 8), ('zmax', 6), ('parking', 6), ('race', 6), ('dragway', 5), ('facility', 5), ('strip', 4), ('area', 4), ('track', 4), ('4', 3), ('easy', 3), ('like', 3), ('motor', 3), ('event', 3), ('fans', 3)]"
21,Concord Mills,"Shops, stores and markets","[('mall', 214), ('stores', 119), ('like', 79), ('great', 66), ('outlet', 61), ('concord', 59), ('mills', 59), ('food', 52), ('parking', 45), ('store', 45), ('lot', 44), ('court', 41), ('time', 40), (""don't"", 34), ('good', 30)]"
22,Walmart Supercenter,"Shops, stores and markets","[('walmart', 23), ('store', 17), ('clean', 10), ('parking', 9), ('like', 9), ('lot', 9), ('usually', 8), ('good', 8), ('people', 8), ('great', 7), ('wal-mart', 7), ('times', 7), ('paint', 7), ('need', 7), ('pretty', 7)]"
23,Lowes Home Improvement,"Shops, stores and markets","[('store', 15), ('help', 10), ('great', 9), ('home', 9), ('manager', 7), ('location', 7), ('new', 5), ('concord', 5), ('shopping', 5), ('love', 5), ('mills', 5), ('told', 4), (""i'm"", 4), ('ask', 4), ('check', 4)]"
24,Petco,Pet services,"[('petco', 11), ('cat', 9), ('petsmart', 8), ('pet', 6), ('like', 6), ('care', 6), ('store', 6), ('food', 5), ('tower', 5), ('leash', 4), ('advice', 4), ('shop', 3), ('stores', 3), ('know', 3), ('new', 3)]"
25,PetSmart,Pet services,"[('cut', 11), ('price', 8), ('groomer', 7), ('touch-up', 6), ('service', 5), ('did', 4), ('issue', 4), ('online', 4), ('petsmart', 4), ('told', 3), ('$41.00', 3), ('needed', 3), ('2', 3), ('prices', 3), ('groom', 3)]"
26,We Hug'em & Tuck'em Inn,Pet services,"[('dunkin', 6), ('em', 4), ('pet', 4), ('late', 3), ('facebook', 3), ('right', 3), ('pictures', 3), ('john', 3), ('hug', 3), ('check', 3), ('time', 3), ('gold', 2), ('furry', 2), ('food', 2), ('did', 2)]"
27,Sears Auto Center,Automobile parts and supplies,"[('staff', 5), ('sears', 5), ('service', 5), ('oil', 5), ('car', 4), ('time', 4), ('tire', 3), ('auto', 3), ('free', 3), ('change', 3), ('getting', 3), ('checked', 3), ('mall', 3), ('center', 3), ('make', 3)]"
28,Tom Johnson Camping World,Automobile parts and supplies,"[('service', 28), ('replaced', 12), ('johnson', 10), ('rv', 10), ('tom', 10), ('took', 10), ('camper', 10), ('unit', 9), ('trailer', 9), ('customer', 8), ('weeks', 8), ('repairs', 8), ('said', 8), ('make', 8), ('time', 8)]"
29,Meineke Car Care Center,Automobile parts and supplies,"[('went', 4), ('times', 3), ('exhaust', 3), ('guys', 3), ('came', 3), (""don't"", 2), ('installed', 2), ('hendrick', 2), ('like', 2), ('sent', 2), ('dealership', 2), ('dollars', 2), ('owner', 2), ('actually', 2), ('service', 2)]"
