,Name,Type,FrequentWord
0,Tenders Fresh Food,Food services,"[('chicken', 203), ('tenders', 172), ('fries', 122), ('food', 118), ('good', 93), ('great', 78), ('fresh', 68), ('fast', 56), ('love', 47), ('sandwich', 47), ('like', 46), ('best', 38), ('service', 37), ('try', 37), ('sauce', 35)]"
1,Rusty Rudder,Food services,"[('food', 131), ('lake', 81), ('good', 69), ('bar', 68), ('great', 61), ('view', 57), ('service', 51), ('drinks', 47), ('drink', 45), ('waitress', 40), ('rudder', 38), ('like', 38), ('time', 35), ('outside', 35), ('boat', 31)]"
2,Sangam Indian Cuisine,Food services,"[('food', 129), ('indian', 120), ('buffet', 90), ('good', 68), ('lunch', 65), ('great', 59), ('chicken', 56), ('service', 52), ('best', 42), ('sangam', 41), ('restaurant', 34), ('dishes', 34), ('naan', 33), ('like', 32), ('time', 28)]"
3,Microtel Inn & Suites by Wyndham Cornelius/Lake Norman,Hospitality services,"[('room', 13), ('hotel', 7), ('nice', 7), ('new', 6), ('bathroom', 6), ('night', 6), ('carpet', 5), ('little', 5), ('like', 5), ('window', 4), ('good', 4), ('elevator', 4), ('breakfast', 4), ('clean', 4), ('tv', 3)]"
4,Comfort Inn & Suites,Hospitality services,"[('clean', 4), ('door', 3), ('restaurant', 3), ('nice', 3), ('right', 2), ('awesome', 2), ('staff', 2), ('live', 2), ('music', 2), ('hotel', 2), ('stay', 2), ('desk', 2), ('spend', 2), ('great', 2), ('helpful', 2)]"
5,Econo Lodge & Suites Lake Norman,Hospitality services,"[('room', 6), ('hotel', 5), ('called', 4), ('night', 3), ('old', 3), ('staying', 3), ('stay', 3), ('dog', 3), ('chain', 2), ('rooms', 2), ('stained', 2), ('furniture', 2), ('did', 2), ('rate', 2), ('told', 2)]"
6,Lake Norman Miniature Golf,sports services,"[('course', 24), ('fun', 19), ('golf', 15), ('great', 14), ('mini', 14), ('friendly', 13), ('family', 13), ('nice', 13), ('clean', 12), ('hole', 11), ('ice', 10), ('area', 10), ('holes', 10), ('courses', 9), ('definitely', 9)]"
7,The Cycle Path,sports services,"[('bike', 14), ('shop', 8), ('tune', 6), ('bikes', 5), ('good', 3), ('right', 3), ('high', 3), ('serviced', 3), ('help', 2), ('pretty', 2), ('day', 2), ('common', 2), ('helpful', 2), ('trails', 2), ('evan', 2)]"
8,Walgreens,Grooming services,"[('photo', 4), ('sale', 4), ('walgreens', 3), ('good', 3), ('service', 3), ('store', 3), ('product', 3), ('stores', 2), ('helpful', 2), ('coupons', 2), ('great', 2), ('shelves', 2), ('items', 2), ('products', 2), ('miss', 2)]"
9,Savvy Salon & Day Spa,Grooming services,"[('hair', 42), ('salon', 30), ('savvy', 19), ('cut', 16), ('time', 15), ('danielle', 13), ('appointment', 13), ('great', 13), ('experience', 13), ('staff', 13), ('stylist', 13), ('did', 12), ('massage', 12), ('went', 12), ('services', 11)]"
10,Andrea's Men's Haircuts,Grooming services,"[('hair', 7), ('new', 6), ('haircut', 5), ('like', 5), ('shop', 4), ('appointment', 4), ('andrea', 4), ('person', 4), ('better', 3), ('finally', 3), ('cut', 3), ('area', 3), ('today', 3), ('things', 3), ('price', 3)]"
11,Galway Hooker,Bars and lounges,"[('great', 87), ('food', 78), ('good', 71), ('irish', 66), ('fish', 51), ('service', 48), ('pub', 41), ('beer', 38), ('like', 34), ('time', 32), ('atmosphere', 32), ('chips', 30), ('bar', 28), ('menu', 27), ('night', 26)]"
12,Ass Clown Brewing Company,Bars and lounges,"[('beer', 104), ('beers', 72), ('ass', 46), ('clown', 46), ('great', 41), ('love', 35), ('brewery', 35), ('like', 32), ('good', 31), ('ipa', 30), ('tap', 27), ('stout', 27), ('little', 26), ('time', 22), ('flavors', 22)]"
13,Old Town Public House,Bars and lounges,"[('beer', 15), ('wine', 10), ('selection', 7), ('great', 7), ('spot', 7), ('cool', 6), ('new', 6), ('night', 5), ('cheese', 5), ('old', 5), ('music', 5), ('cornelius', 4), ('nice', 4), ('live', 4), ('craft', 4)]"
14,Peninsula Club,Entertainment services,"[('good', 3), ('food', 3), ('great', 3), ('club', 3), ('nice', 3), ('chocolate', 3), ('staff', 2), ('night', 2), ('country', 2), ('service', 2), ('wonderful', 2), ('chip', 2), ('dinner', 2), ('dining', 2), ('reception', 2)]"
15,The Warehouse Performing Arts Center,Entertainment services,"[('warehouse', 9), ('venue', 5), ('evening', 5), ('theater', 5), ('intimate', 4), ('marla', 4), ('performance', 4), ('seats', 3), ('enjoyed', 3), ('brown', 3), ('audience', 3), ('tickets', 3), ('talented', 3), ('love', 3), ('pac', 3)]"
16,Serenity Now Massage Therapy,Entertainment services,"[('massage', 15), ('serenity', 6), ('social', 5), ('living', 5), ('use', 4), ('try', 3), ('great', 3), (""i'm"", 3), ('deal', 3), ('monthly', 3), ('wonderful', 3), ('recommend', 3), ('places', 3), ('online', 3), ('friends', 3)]"
