,Name,Type,FrequentWord
0,Famous Toastery,Food services,"[('toast', 178), ('food', 163), ('breakfast', 140), ('good', 122), ('great', 116), ('service', 90), ('wait', 69), ('like', 69), ('davidson', 64), ('time', 58), ('coffee', 56), ('french', 56), ('table', 49), ('little', 47), ('ordered', 45)]"
1,Brickhouse Tavern,Food services,"[('great', 106), ('food', 103), ('good', 100), ('bar', 57), ('pizza', 54), ('beer', 48), ('service', 42), ('brickhouse', 40), ('area', 36), ('time', 35), ('like', 35), ('chicken', 30), ('atmosphere', 29), ('davidson', 26), ('nice', 24)]"
2,North Harbor Club,Food services,"[('food', 129), ('great', 97), ('good', 85), ('service', 81), ('lake', 70), ('nice', 48), ('view', 47), ('dinner', 43), ('restaurant', 43), ('brunch', 42), ('menu', 41), ('time', 36), ('like', 35), ('excellent', 33), ('lunch', 33)]"
3,"Paul R Gibbs, DDS MS",Medical services,"[('dr', 4), ('love', 3), ('money', 2), ('staff', 2), ('personal', 2), ('gibbs', 2), ('recommend', 2), ('gave', 2), ('excellent', 2), ('seeing', 1), ('work', 1), ('awesome', 1), ('hard', 1), ('encouraged', 1), ('highly', 1)]"
4,Northeast Pediatric Dentistry,Medical services,"[('office', 6), ('new', 4), ('staff', 3), ('rescheduled', 3), ('like', 3), ('morning', 3), ('months', 3), ('time', 3), ('dr', 2), ('day', 2), ('appointment', 2), ('deal', 2), ('people', 2), ('insurance', 2), ('literally', 2)]"
5,Davidson Village Inn,Hospitality services,"[('inn', 17), ('breakfast', 13), ('davidson', 12), ('great', 11), ('staff', 10), ('room', 9), ('stay', 8), ('stayed', 7), ('day', 7), ('friendly', 6), ('village', 6), ('home', 6), ('free', 5), ('area', 5), ('time', 5)]"
6,Luxury Nail Salon,Grooming services,"[('brows', 2), ('going', 2), ('pretty', 2), ('did', 2), ('pedicure', 2), ('job', 2), ('minutes', 2), ('clutter', 2), ('want', 2), ('salon', 1), ('help', 1), ('cheap', 1), ('walking', 1), ('ended', 1), ('colors', 1)]"
7,Davidson Beverage Company,Bars and lounges,"[('beer', 43), ('great', 23), ('bar', 20), ('beers', 18), ('tap', 18), ('selection', 16), ('enjoy', 14), ('nice', 14), ('area', 13), ('local', 13), ('good', 12), ('dbc', 12), ('small', 11), ('new', 10), ('time', 10)]"
8,Carrburritos In Davidson,Bars and lounges,"[('food', 65), ('great', 54), ('salsa', 45), ('good', 40), ('fresh', 36), ('tacos', 34), ('burrito', 34), ('chips', 32), ('carrburritos', 29), ('mexican', 28), ('like', 26), ('order', 25), ('davidson', 24), ('time', 21), ('chipotle', 20)]"
9,Upper Crust Bar & Social Club,Bars and lounges,"[('good', 15), ('dinner', 13), ('food', 9), ('great', 8), ('atmosphere', 8), ('bar', 8), ('service', 7), ('seafood', 7), ('nice', 7), ('music', 6), ('wonderful', 6), ('friends', 6), ('upper', 5), ('live', 5), ('crust', 5)]"
10,Our Town Cinemas,Entertainment services,"[('movie', 41), ('theater', 24), ('like', 20), ('chairs', 17), ('town', 16), ('food', 16), ('small', 14), ('great', 14), ('beer', 13), ('love', 10), ('seating', 10), ('kids', 9), ('people', 9), ('alien', 8), ('office', 8)]"
11,River Run Country Club,Entertainment services,"[('run', 8), ('river', 8), ('food', 7), ('wedding', 6), ('chris', 6), ('day', 4), ('perfect', 3), ('absolutely', 3), ('business', 3), ('order', 3), ('manager', 2), ('staff', 2), ('dining', 2), ('room', 2), ('venue', 2)]"
12,Harris Teeter,"Shops, stores and markets","[('store', 8), ('location', 7), ('teeter', 6), ('harris', 6), ('clean', 6), ('friendly', 5), ('lot', 5), ('items', 4), ('selection', 3), ('staff', 3), ('pretty', 3), ('like', 3), ('parking', 3), ('home', 3), ('looking', 3)]"
13,Rushco Davidson Market,"Shops, stores and markets","[('chicken', 4), ('breakfast', 3), ('good', 3), ('sandwich', 2), ('food', 2), ('sandwiches', 2), ('did', 2), ('fresh', 2), ('enjoy', 1), ('selection', 1), ('snacks', 1), ('serve', 1), ('consistent', 1), ('past', 1), ('single', 1)]"
14,Wooden Stone,"Shops, stores and markets","[('unique', 4), ('jewelry', 4), ('lots', 4), ('staff', 3), ('local', 3), ('friendly', 3), ('good', 3), ('artists', 3), ('great', 3), ('glass', 3), ('furniture', 2), ('stop', 2), ('gift', 2), ('wooden', 2), ('large', 2)]"
15,Town of Davidson,Health and fitness services,"[('town', 16), ('davidson', 12), ('great', 9), ('college', 8), ('coffee', 7), ('restaurants', 5), ('little', 5), ('downtown', 5), ('shops', 5), ('small', 4), ('live', 4), ('stores', 3), ('lake', 3), ('feel', 3), ('wonderful', 3)]"
16,Fisher Farm,Health and fitness services,"[('trails', 5), ('great', 5), ('woods', 3), ('miles', 3), ('huge', 3), ('means', 2), ('bikers', 2), ('roots', 2), (""you're"", 2), ('dogs', 2), ('park', 2), ('biking', 2), ('beautiful', 2), ('need', 2), ('mountain', 2)]"
17,Duffy Electric Boats Of Lake Norman,Health and fitness services,"[('boat', 7), ('hours', 3), ('shop', 2), ('renting', 2), ('tours', 2), ('couple', 2), ('picnic', 2), ('anniversary', 2), ('water', 2), ('little', 2), ('check', 2), ('nice', 2), ('electric', 2), ('friends', 2), ('time', 2)]"
