,Name,Type,FrequentWord
0,On The Border Mexican Grill & Cantina,Food services,"[('food', 31), ('service', 14), ('good', 13), ('like', 10), ('great', 9), ('mexican', 9), ('border', 8), ('server', 8), ('time', 8), ('hot', 7), ('waitress', 7), ('love', 6), ('chips', 6), ('chain', 5), ('margarita', 5)]"
1,Tavern 24,Food services,"[('food', 74), ('good', 61), ('great', 48), ('service', 40), ('time', 36), ('ordered', 34), ('beer', 31), ('like', 31), ('bar', 29), ('restaurant', 28), ('tavern', 27), ('wings', 27), ('nice', 27), ('burger', 26), ('fries', 25)]"
2,Jia Asian Fusion & Sushi Bar,Food services,"[('sushi', 89), ('food', 59), ('good', 50), ('great', 45), ('service', 33), ('chicken', 28), ('best', 27), ('roll', 26), ('fresh', 25), ('restaurant', 23), ('delicious', 21), ('friendly', 18), ('ordered', 18), ('try', 16), ('excellent', 16)]"
3,MyEyeDr,Medical services,"[('dr', 4), ('eye', 2), ('doctor', 2), ('recommend', 2), ('staff', 2), ('appointment', 2), ('great', 2), ('fantastic', 1), ('old', 1), ('help', 1), ('office', 1), ('providers', 1), ('prefer', 1), ('drive', 1), ('individual', 1)]"
4,America's Best Contacts & Eyeglasses,Medical services,"[('eye', 6), ('dr', 5), ('time', 5), ('glasses', 4), ('contacts', 4), (""i'm"", 4), ('hate', 3), ('location', 3), ('appointment', 3), ('feel', 3), ('explained', 3), ('gazdeck', 3), ('rushed', 3), (""i've"", 3), ('professional', 3)]"
5,Dentalworks,Medical services,"[('dental', 7), ('did', 5), ('work', 5), ('dentist', 5), ('friendly', 4), ('care', 4), ('mouth', 4), ('actually', 3), ('like', 3), ('morning', 3), ('great', 3), ('tell', 3), ('bad', 3), ('cleaning', 3), ('weekend', 3)]"
6,Courtyard Charlotte Gastonia,Hospitality services,"[('room', 17), ('stay', 11), ('staff', 10), ('hotel', 9), ('area', 8), ('great', 7), ('courtyard', 7), ('property', 7), ('friendly', 6), ('rooms', 6), ('desk', 6), ('experience', 5), ('day', 5), ('service', 5), ('check', 5)]"
7,Super 8 Gastonia,Hospitality services,"[('room', 5), ('stay', 4), ('like', 3), ('looked', 3), ('clean', 3), ('bad', 2), ('daylight', 2), ('visiting', 2), ('pet', 2), ('water', 2), ('broken', 2), ('glass', 2), ('ceiling', 2), ('stayed', 2), ('walking', 1)]"
8,Dick's Sporting Goods,sports services,"[('associate', 5), ('selection', 3), ('going', 3), ('location', 3), ('stuff', 3), ('shoes', 2), ('sporting', 2), ('better', 2), ('dicks', 2), ('gastonia', 2), ('people', 2), ('northlake', 2), ('buy', 2), ('store', 2), ('cleats', 2)]"
9,Gander Mountain - Gastonia Store,sports services,"[('store', 7), ('rifle', 5), (""didn't"", 5), ('mean', 4), ('want', 4), ('sales', 4), ('event', 3), ('customer', 3), ('item', 3), ('pricing', 3), ('felt', 3), ('current', 3), ('handling', 3), ('price', 3), ('$35', 3)]"
10,Bangz Salon,Grooming services,"[('hair', 12), ('salon', 9), ('color', 7), ('like', 7), ('good', 6), ('appointment', 5), ('did', 5), (""didn't"", 5), ('doing', 5), ('service', 5), ('cut', 5), ('aveda', 5), ('came', 5), ('time', 5), ('experience', 4)]"
11,R Nails & Spa,Grooming services,"[('nails', 9), ('gel', 7), ('salon', 6), ('did', 4), ('went', 4), ('nail', 4), ('pedicure', 4), ('soaked', 3), ('manicure', 3), ('great', 3), ('barely', 3), ('helen', 3), (""don't"", 2), ('polish', 2), ('thumb', 2)]"
12,Envy Nail Spa,Grooming services,"[('great', 6), ('staff', 4), ('busy', 4), ('did', 4), ('service', 4), ('techs', 4), ('salon', 3), ('friendly', 3), ('lady', 3), ('gel', 3), ('pedicure', 3), ('job', 3), ('mom', 2), ('polish', 2), ('chairs', 2)]"
13,Hickory Tavern,Bars and lounges,"[('food', 25), ('good', 16), ('hickory', 11), ('tavern', 11), ('service', 9), ('great', 8), ('like', 8), ('chicken', 7), ('bar', 7), ('drink', 7), ('staff', 6), ('times', 6), ('bad', 6), ('nachos', 6), ('eat', 6)]"
14,Grape & Barley,Bars and lounges,"[('beer', 16), ('wine', 15), ('selection', 9), ('nice', 8), ('great', 6), ('gastonia', 6), ('tap', 5), ('beers', 5), ('saturday', 5), ('wines', 5), ('definitely', 5), ('bar', 5), ('try', 4), ('bartender', 4), ('needs', 4)]"
15,Freeman's Pub,Bars and lounges,"[('food', 11), ('beer', 10), ('good', 9), ('great', 8), ('night', 6), ('local', 5), ('gastonia', 5), (""freeman's"", 5), ('live', 5), ('music', 5), ('fun', 5), ('selection', 4), ('bar', 4), ('pub', 4), ('drink', 4)]"
16,Regal Cinemas Franklin Square 14,Entertainment services,"[('movie', 30), ('theater', 13), ('people', 8), ('long', 7), ('movies', 6), ('theatre', 6), ('going', 6), ('seats', 6), ('theaters', 5), ('popcorn', 5), ('love', 5), ('prices', 5), ('ticket', 4), ('concessions', 4), ('experience', 4)]"
17,Carolina Speedway,Entertainment services,"[('track', 7), ('food', 5), ('racing', 5), ('race', 4), ('bring', 3), ('night', 3), ('tracks', 3), ('ive', 3), ('evening', 3), ('8', 2), ('good', 2), ('hit', 2), ('candy', 2), ('alcohol', 2), ('announcer', 2)]"
18,Schiele Museum of Natural History,Entertainment services,"[('museum', 16), ('animals', 12), ('planetarium', 12), ('exhibits', 10), ('kids', 9), ('small', 6), ('visit', 6), ('outside', 6), ('outdoor', 6), ('day', 5), ('event', 5), ('inside', 5), ('trails', 4), ('indian', 4), ('great', 4)]"
19,Target,"Shops, stores and markets","[('target', 29), ('store', 12), ('love', 9), ('starbucks', 9), ('toy', 9), ('nice', 9), ('shopping', 8), ('location', 8), ('new', 7), ('great', 7), ('toys', 7), ('section', 6), (""i'm"", 6), ('stock', 6), ('like', 6)]"
20,Walmart Supercenter,"Shops, stores and markets","[('walmart', 7), ('section', 4), ('items', 4), (""don't"", 3), ('half', 3), (""i'm"", 3), ('lot', 3), ('way', 3), ('look', 3), (""wasn't"", 3), ('cap', 3), ('parking', 3), ('usual', 3), ('folks', 2), ('bread', 2)]"
21,Ross Dress for Less,"Shops, stores and markets","[('tj', 3), ('ross', 2), ('bit', 2), ('decent', 2), ('prices', 2), ('shopping', 2), ('maxx', 2), ('selection', 1), ('stores', 1), (""don't"", 1), ('course', 1), ('messy', 1), ('line', 1), ('staff', 1), ('lb', 1)]"
22,Petco,Pet services,"[('dog', 9), ('store', 7), ('location', 5), ('pets', 5), ('love', 4), ('okay', 4), (""don't"", 3), ('petco', 3), ('customers', 3), ('animals', 3), ('hair', 3), ('health', 3), ('kids', 3), ('potentially', 3), ('pet', 3)]"
23,PetSmart,Pet services,"[('pet', 10), ('store', 9), ('dog', 6), ('daniel', 5), ('items', 5), ('like', 4), ('know', 3), ('told', 3), ('hour', 3), ('best', 3), ('use', 3), ('dogs', 3), ('receipt', 3), ('care', 3), ('stated', 3)]"
