,Name,Type,FrequentWord
0,Cafe 100,Food services,"[('food', 159), ('good', 122), ('great', 120), ('breakfast', 117), ('wait', 92), ('cafe', 80), ('service', 78), ('100', 65), ('time', 64), ('nice', 56), ('like', 55), ('brunch', 54), ('table', 52), ('minutes', 49), ('coffee', 44)]"
1,Bad Daddy's Burger Bar,Food services,"[('burger', 213), ('good', 113), ('great', 94), ('burgers', 78), ('food', 78), ('bad', 70), ('service', 62), (""daddy's"", 56), ('fries', 53), ('time', 45), ('bacon', 44), ('like', 43), ('order', 40), ('beer', 40), ('tots', 40)]"
2,Eez Fusion Grille & Sushi Bar,Food services,"[('sushi', 252), ('great', 135), ('good', 132), ('food', 123), ('eez', 95), ('roll', 89), ('service', 84), ('rolls', 75), ('menu', 67), ('like', 64), ('time', 56), ('love', 56), ('restaurant', 53), ('fresh', 50), ('nice', 47)]"
3,The Joint Chiropractic,Medical services,"[('time', 9), ('dr', 8), ('location', 6), ('past', 6), ('6:30', 6), (""don't"", 5), ('adjustment', 5), ('joint', 5), ('said', 5), ('office', 4), ('point', 4), ('appointment', 4), ('like', 4), ('care', 4), (""i'm"", 4)]"
4,Northlake Dermatology,Medical services,"[('doctor', 18), ('did', 13), ('appointment', 7), ('told', 7), ('office', 7), ('dr', 7), ('kois', 6), ('care', 6), (""didn't"", 5), ('rude', 5), ('insurance', 5), ('doctors', 5), ('exam', 5), ('pay', 5), ('make', 5)]"
5,Progressive Medical Associates,Medical services,"[('office', 3), ('going', 3), ('care', 3), ('staff', 2), ('le', 2), ('personal', 2), ('practice', 2), ('dr', 2), ('went', 2), ('best', 2), (""i've"", 2), ('drugs', 2), ('took', 2), ('check', 2), ('doctor', 2)]"
6,Comfort Suites Lake Norman - Huntersville,Hospitality services,"[('room', 9), ('breakfast', 8), ('staff', 7), ('good', 6), ('clean', 6), ('friendly', 5), ('nice', 5), ('rooms', 4), ('desk', 4), ('hotel', 4), ('stay', 4), ('internet', 3), ('business', 3), ('quiet', 3), ('comfy', 3)]"
7,Holiday Inn Express & Suites Huntersville-Birkdale,Hospitality services,"[('room', 9), ('nice', 7), ('staff', 4), ('holiday', 4), ('good', 4), ('great', 4), ('inn', 4), ('clean', 4), ('location', 3), ('express', 3), ('desk', 3), ('helpful', 3), ('hotel', 3), ('breakfast', 3), ('light', 3)]"
8,Residence Inn Charlotte Lake Norman,Hospitality services,"[('room', 13), ('hotel', 6), ('stay', 5), ('staff', 4), ('suite', 4), ('marriott', 4), ('area', 4), ('stayed', 4), ('clean', 4), ('course', 3), ('cleanliness', 3), ('quite', 3), ('little', 3), ('bathroom', 3), ('breakfast', 3)]"
9,Uncommon Scents,sports services,"[('store', 12), ('items', 8), ('gifts', 7), ('cute', 6), ('went', 6), ('like', 6), ('gift', 6), ('sports', 5), ('time', 5), ('shop', 5), ('walked', 5), ('owner', 4), ('scent', 4), ('saying', 4), ('selection', 4)]"
10,Dick's Sporting Goods,sports services,"[('store', 7), ('selection', 6), ('bit', 6), (""dick's"", 6), ('goods', 5), ('location', 5), ('sporting', 3), ('super', 3), ('dicks', 3), ('bowl', 3), ('different', 3), ('thought', 3), ('time', 3), ('shop', 2), ('limited', 2)]"
11,Strikers Soccer Center,sports services,"[('game', 4), ('kids', 3), ('young', 2), ('soccer', 2), ('good', 2), ('walls', 2), ('skills', 2), ('enjoy', 2), ('league', 2), ('great', 2), ('games', 2), ('winter', 2), ('leagues', 1), ('coach', 1), ('office', 1)]"
12,Valeria Salon.Spa.Boutique,Grooming services,"[(""i'm"", 8), ('stylist', 6), ('good', 5), ('hair', 5), ('eye', 5), (""didn't"", 5), ('know', 3), ('did', 3), ('boutique', 3), ('anna', 3), ('area', 3), ('awesome', 3), ('nice', 3), ('valeria', 3), ('salon', 2)]"
13,Dani,Grooming services,"[('great', 19), ('hair', 12), ('haircut', 9), ('service', 8), ('massage', 8), ('cut', 7), (""i've"", 5), ('nice', 5), ('neck', 5), ('good', 4), ('work', 4), ('wait', 4), ('shampoo', 4), ('dani', 4), ('friendly', 3)]"
14,Beauty Brands Salon Spa Superstore,Grooming services,"[('hair', 19), ('did', 13), ('great', 13), ('salon', 10), ('cut', 10), ('brands', 10), ('time', 10), ('beauty', 8), ('went', 8), (""i've"", 8), ('awesome', 7), ('nancy', 7), ('stylist', 7), ('job', 7), ('manager', 6)]"
15,Duckworth's Grill & Taphouse,Bars and lounges,"[('food', 225), ('beer', 219), ('great', 193), ('good', 164), ('service', 99), ('bar', 95), ('selection', 80), ('beers', 69), ('time', 68), ('wings', 68), ('like', 64), ('menu', 51), ('chicken', 51), (""duckworth's"", 46), ('philly', 46)]"
16,Three Amigos Mexican Grill and Cantina,Bars and lounges,"[('food', 118), ('good', 79), ('great', 66), ('mexican', 63), ('service', 57), ('fresh', 42), ('salsa', 31), ('love', 29), ('restaurant', 27), ('delicious', 26), ('definitely', 26), ('ordered', 26), ('try', 26), ('enchiladas', 25), ('time', 25)]"
