,Name,Type,FrequentWord
0,Bonfire Bar and Grill,Food services,"[('good', 33), ('food', 29), ('bar', 25), ('great', 18), ('service', 18), ('menu', 14), ('like', 14), ('dinner', 11), ('ordered', 11), ('bonfire', 10), ('salad', 10), ('went', 10), ('waitress', 10), ('drink', 10), ('night', 10)]"
1,Taqueria La Unica,Food services,"[('food', 201), ('mexican', 157), ('good', 117), ('great', 86), ('salsa', 80), ('best', 74), ('restaurant', 67), ('like', 65), ('la', 65), ('service', 63), ('unica', 60), ('tacos', 59), ('chips', 48), ('hot', 46), ('love', 41)]"
2,Sabor Latin Street Grill,Food services,"[('food', 67), ('good', 40), ('great', 32), ('nachos', 22), ('location', 19), ('tacos', 18), ('like', 17), ('friendly', 16), ('service', 15), ('menu', 15), ('time', 14), ('sabor', 13), ('delicious', 13), ('staff', 13), ('salsa', 12)]"
3,Belle's Nails & Spa,Grooming services,"[('nails', 20), ('great', 15), ('nail', 12), ('time', 11), ('service', 10), ('salon', 9), ('gel', 8), ('polish', 8), ('manicure', 7), ('feel', 7), (""i've"", 7), ('love', 6), (""didn't"", 6), ('years', 6), ('staff', 6)]"
4,Walgreens,Grooming services,"[('quickie', 3), ('walgreens', 2), ('need', 2), ('convenient', 2), ('basic', 2), (""i've"", 2), ('like', 2), ('drastically', 1), ('whats', 1), ('.........come', 1), ('overwhelmed', 1), ('locations', 1), ('......your', 1), ('mile', 1), ('girls', 1)]"
5,Pampered Nails,Grooming services,"[('service', 13), ('nails', 12), ('great', 10), ('time', 8), ('polish', 7), ('good', 7), ('best', 6), ('customer', 5), ('friendly', 5), ('gel', 5), ('job', 5), ('love', 5), ('customers', 5), ('regular', 5), ('like', 4)]"
6,The Trail House,Bars and lounges,"[('food', 38), ('great', 35), ('good', 22), ('service', 20), ('server', 15), ('trail', 14), ('minutes', 13), ('ordered', 13), ('waitress', 12), ('drink', 12), ('burger', 11), ('menu', 11), ('definitely', 10), ('came', 10), ('chicken', 10)]"
7,Sun Valley 14,Entertainment services,"[('theater', 45), ('movie', 27), ('great', 22), ('seats', 18), ('new', 17), ('nice', 16), ('clean', 15), ('popcorn', 15), ('movies', 14), ('comfortable', 12), ('like', 11), ('time', 11), ('theaters', 10), ('good', 10), ('times', 10)]"
8,Audio To Go Dj,Entertainment services,"[('wedding', 3), ('audio', 3), ('right', 2), ('make', 2), ('brian', 2), ('atg', 2), ('work', 2), ('worth', 2), ('reception', 2), ('fun', 2), ('went', 2), ('guys...you', 1), ('fantastic', 1), ('love', 1), ('danced', 1)]"
9,Walmart Supercenter,"Shops, stores and markets","[('walmart', 9), ('like', 5), ('usually', 5), ('shopping', 5), ('cashiers', 4), ('great', 4), ('location', 4), ('wal-mart', 4), (""don't"", 3), ('friendly', 3), ('know', 3), ('large', 3), ('parking', 3), ('times', 3), ('love', 3)]"
10,QuikTrip,"Shops, stores and markets","[('gas', 6), ('location', 5), ('clean', 5), ('new', 4), ('store', 4), ('staff', 3), ('people', 3), ('stations', 3), ('station', 3), (""i've"", 3), ('prices', 3), ('cold', 2), ('going', 2), ('friendly', 2), ('food', 2)]"
11,Vaping Xtreme,"Shops, stores and markets","[('great', 6), ('hope', 3), ('vaping', 3), ('best', 3), ('willing', 2), ('couple', 2), ('level', 2), ('supplies', 2), ('feel', 2), ('recommend', 2), ('juice', 2), ('juices', 2), ('talk', 2), ('ugh', 1), ('questions', 1)]"
12,Crossroads Ford of Indian Trail,Automobile parts and supplies,"[('service', 12), ('car', 11), ('ford', 7), (""i'm"", 6), ('time', 6), ('said', 4), ('dealership', 4), ('customer', 4), ('trade', 3), ('good', 3), ('like', 3), ('quick', 3), ('email', 3), ('recommend', 3), ('offered', 3)]"
13,Chrysler Dodge Jeep Ram of Indian Trail,Automobile parts and supplies,"[('car', 21), ('come', 7), ('deal', 7), ('did', 6), ('team', 6), ('new', 6), ('trade', 6), ('went', 6), ('said', 6), ('sales', 6), ('purchase', 5), ('good', 5), ('best', 5), ('negotiate', 5), ('rest', 5)]"
14,Valvoline Instant Oil Change,Automobile parts and supplies,"[('make', 4), ('friendly', 3), ('fair', 3), ('service', 3), ('oil', 3), ('staff', 2), ('observed', 2), ('sure', 2), ('filter', 2), (""i've"", 2), ('car', 2), ('5', 2), ('came', 2), ('refund', 1), ('office', 1)]"
15,Kate's Skating Center,Health and fitness services,"[('kids', 17), ('skating', 13), ('rink', 12), ('skate', 11), ('skates', 10), ('pretty', 10), ('good', 9), ('roller', 8), ('like', 7), (""don't"", 6), ('going', 6), ('fun', 6), ('parents', 6), ('bad', 5), ('3', 5)]"
