,Name,Type,FrequentWord
0,Old Stone Vino Bistro and Wine Bar,Food services,"[('great', 10), ('food', 8), ('nice', 6), ('service', 6), ('wine', 6), ('beer', 5), ('soup', 5), ('selection', 4), ('good', 4), ('like', 4), ('nights', 4), ('fresh', 4), ('kannapolis', 3), ('day', 3), ('went', 3)]"
1,El Amigo Mexican Restaurant,Food services,"[('food', 39), ('mexican', 25), ('great', 18), ('like', 14), ('friendly', 13), ('service', 11), ('el', 10), ('restaurant', 10), ('amigo', 10), ('salsa', 9), ('chicken', 9), ('chips', 9), ('best', 9), ('beans', 9), ('tacos', 8)]"
2,What-A-Burger 1,Food services,"[('food', 6), ('what-a-burger', 5), ('burger', 4), ('years', 3), ('texas', 3), ('good', 3), ('great', 3), ('fast', 3), ('staff', 2), ('kannapolis', 2), ('school', 2), ('working', 2), ('explained', 2), ('quality', 2), ('north', 2)]"
3,Holiday Inn Express & Suites Concord,Hospitality services,"[('breakfast', 4), ('stayed', 3), ('clean', 3), ('location', 2), ('holiday', 2), (""i've"", 2), ('express', 2), ('free', 2), ('great', 2), ('quick', 2), ('liked', 1), ('stores', 1), ('hard', 1), ('satisfied', 1), ('racetrack', 1)]"
4,Kannapolis Intimidators,sports services,"[('baseball', 6), ('park', 6), ('game', 5), ('team', 3), ('boll', 3), ('great', 3), ('expected', 3), ('food', 2), ('past', 2), ('changed', 2), ('state', 2), ('decent', 2), ('fireworks', 2), ('line', 2), ('bathrooms', 2)]"
5,Academy Sports and Outdoors,sports services,"[('section', 4), ('woman', 3), ('today', 3), ('academy', 3), ('knew', 3), ('great', 3), ('store', 3), ('young', 2), ('sports', 2), ('new', 2), ('went', 2), ('wedge', 1), ('love', 1), ('pistols', 1), ('managed', 1)]"
6,Pro Nails,Grooming services,"[('nails', 7), ('pedicure', 4), ('kannapolis', 3), ('love', 3), ('service', 3), ('recommend', 3), ('work', 3), ('staff', 2), ('gel', 2), ('best', 2), ('new', 2), ('little', 2), ('relaxing', 2), ('great', 2), ('beautiful', 2)]"
7,Crispys Bar And Grill,Bars and lounges,"[('bacon', 72), ('food', 28), ('good', 16), ('pork', 13), ('wrapped', 13), ('menu', 12), ('great', 11), ('friendly', 10), ('beer', 10), ('like', 10), ('sandwich', 9), ('staff', 9), ('try', 8), ('rinds', 8), ('chicken', 8)]"
8,Gem Theatre,Entertainment services,"[('gem', 12), ('movie', 12), ('tickets', 9), ('great', 8), ('prices', 8), ('movies', 7), ('large', 7), ('popcorn', 6), ('seats', 6), ('concessions', 5), ('experience', 5), (""don't"", 5), ('$4', 5), ('cheap', 5), (""can't"", 5)]"
9,Foxfire Lanes,Entertainment services,"[('bowling', 5), ('family', 4), ('friendly', 3), ('great', 3), ('clean', 3), ('good', 2), ('lanes', 2), (""i've"", 2), ('overall', 2), ('prices', 2), ('times', 2), ('enjoy', 1), ('gone', 1), ('diane', 1), ('regret', 1)]"
10,Sam's Club,"Shops, stores and markets","[('yogurt', 8), ('machine', 6), ('like', 6), (""sam's"", 6), ('working', 5), ('order', 4), ('club', 4), ('cafe', 4), ('shop', 3), ('update-called', 3), ('people', 3), ('area', 3), ('service', 3), ('store', 3), ('things', 3)]"
11,Greendale Tropical & Saltwater Fish,Pet services,"[('fish', 24), ('best', 9), (""don't"", 8), ('years', 7), ('aquarium', 7), ('right', 6), ('great', 6), ('store', 6), ('selection', 5), ('friendly', 5), (""greendale's"", 5), ('stores', 4), ('know', 4), ('tanks', 4), ('old', 4)]"
12,Kannapolis Recreation Park,Health and fitness services,"[('pool', 9), ('went', 4), ('opened', 4), ('adult', 4), ('water', 3), ('concrete', 3), ('summer', 2), ('swim', 2), ('good', 2), ('big', 2), ('break', 2), ('weeds', 2), ('slide', 2), ('old', 2), ('probably', 2)]"
