,Name,Type,FrequentWord
0,PePeRo,Food services,"[('food', 217), ('korean', 213), ('good', 99), ('restaurant', 82), ('store', 74), ('like', 68), ('service', 59), ('grocery', 51), ('charlotte', 51), ('love', 50), ('dishes', 47), ('pepero', 47), ('soup', 46), ('little', 44), ('great', 42)]"
1,Stacks Kitchen,Food services,"[('food', 117), ('good', 105), ('breakfast', 104), ('great', 92), ('service', 70), ('wait', 70), ('toast', 56), ('stacks', 50), ('time', 47), ('eggs', 46), ('ordered', 41), ('french', 39), ('hash', 38), ('like', 37), ('order', 31)]"
2,Texas Roadhouse,Food services,"[('steak', 76), ('good', 73), ('food', 71), ('service', 54), ('great', 35), ('roadhouse', 34), ('time', 33), ('cooked', 32), ('texas', 30), ('rolls', 30), ('came', 29), ('butter', 29), ('like', 28), ('salad', 28), ('table', 27)]"
3,Austin Village Eyecare,Medical services,"[('dr', 25), ('eye', 23), ('bhat', 15), ('office', 14), ('staff', 9), ('great', 8), ('years', 7), ('went', 7), ('glasses', 7), ('doctor', 7), ('contacts', 7), (""i've"", 7), ('recommend', 6), ('right', 6), ('friendly', 5)]"
4,America's Best Contacts & Eyeglasses,Medical services,"[('glasses', 8), ('appointment', 7), ('eye', 6), ('associate', 6), ('lady', 6), (""i'll"", 5), ('wanted', 5), ('make', 5), ('try', 4), ('working', 4), ('today', 4), ('exam', 4), ('come', 4), ('kim', 4), ('question', 4)]"
5,Holiday Inn Express & Suites Charlotte Southeast - Matthews,Hospitality services,"[('breakfast', 5), ('area', 4), ('clean', 4), ('good', 3), ('great', 3), ('hotel', 3), ('room', 3), ('staff', 2), ('spacious', 2), ('friendly', 2), ('parking', 2), ('sausage', 2), ('lots', 2), ('free', 2), ('quiet', 2)]"
6,Quality Inn & Suites Matthews - Charlotte,Hospitality services,"[('room', 7), ('stay', 7), ('said', 4), ('card', 4), ('bed', 4), ('need', 4), ('breakfast', 4), ('yes', 3), ('staff', 3), ('uncomfortable', 3), ('cleaning', 3), ('great', 3), ('checked', 3), ('service', 3), ('area', 3)]"
7,Courtyard Charlotte Matthews,Hospitality services,"[('room', 19), ('hotel', 11), ('staff', 11), ('area', 10), ('great', 9), ('comfortable', 7), ('clean', 7), ('location', 7), ('way', 7), ('did', 6), ('little', 6), ('stay', 6), ('time', 6), ('friendly', 5), ('good', 5)]"
8,Stallings Park,sports services,"[('park', 10), ('kids', 7), ('areas', 5), ('splash', 5), ('pad', 5), ('playground', 4), ('hours', 4), ('nice', 4), ('clean', 4), ('picnic', 3), ('love', 3), ('playgrounds', 3), ('children', 2), ('tables', 2), ('fenced', 2)]"
9,Mojo Cycles,sports services,"[('bike', 6), ('shop', 4), ('service', 4), ('repair', 3), ('price', 3), ('looking', 2), ('good', 2), ('took', 2), ('times', 2), ('right', 1), ('followed', 1), ('fair', 1), ('simple', 1), ('satisfied', 1), ('month', 1)]"
10,CVS / Pharmacy,Grooming services,"[('best', 2), ('service', 2), ('staff', 2), ('store', 2), ('rude', 2), ('super', 2), ('customer', 2), ('minutes', 2), ('waited', 2), ('shop', 1), ('enjoy', 1), ('learn', 1), ('sweet', 1), ('soon', 1), ('$79-99', 1)]"
11,Palm Beach Tan,Grooming services,"[('tanning', 6), ('color', 5), ('good', 5), ('staff', 4), ('clean', 4), ('salon', 3), ('overall', 3), ('like', 3), ('use', 3), ('tan', 3), ('okay', 3), ('know', 2), ('helpful', 2), ('palm', 2), ('hours', 2)]"
