,Name,Type,FrequentWord
0,Dunwellz,Food services,"[('food', 93), ('good', 87), ('great', 77), ('burger', 56), ('service', 38), ('time', 34), ('wings', 34), ('beer', 33), ('dunwellz', 31), ('selection', 28), ('hill', 28), ('staff', 28), ('night', 23), ('like', 23), ('mint', 21)]"
1,Dunkin' Donuts,Food services,"[('coffee', 10), ('location', 9), ('ice', 8), ('donuts', 8), ('cream', 7), ('hard', 6), ('service', 6), ('like', 5), ('clean', 5), ('time', 5), ('order', 5), ('good', 4), ('dunkin', 4), ('tropical', 4), ('customer', 4)]"
2,New Asian Cuisine,Food services,"[('good', 29), ('food', 26), ('chicken', 24), ('chinese', 12), ('great', 12), ('soup', 12), ('restaurant', 12), ('fried', 11), ('time', 11), ('service', 10), (""i've"", 10), ('friendly', 9), ('new', 9), ('order', 9), ('rice', 9)]"
3,Mint Hill Barber Shop,Grooming services,"[('barber', 12), ('cut', 10), ('hair', 10), ('shop', 9), ('great', 8), ('years', 6), ('like', 5), ('friendly', 4), ('good', 4), ('did', 3), ('old', 3), ('looking', 3), ('hill', 3), ('new', 3), ('job', 3)]"
4,Lee Spa Nails,Grooming services,"[(""i've"", 8), ('spa', 8), ('went', 7), ('nail', 7), (""don't"", 6), ('nails', 6), (""i'm"", 6), ('3', 5), ('gel', 4), ('like', 4), ('people', 4), ('service', 4), ('2', 4), ('work', 4), ('price', 4)]"
5,Perfectly Polished,Grooming services,"[('nail', 11), ('pedi', 5), ('service', 4), ('tech', 4), ('time', 4), ('friendly', 3), ('did', 3), ('new', 3), ('water', 3), ('experience', 3), ('salon', 2), ('colors', 2), ('polish', 2), ('gel', 2), ('chairs', 2)]"
6,Stooge's Pub & Grub,Bars and lounges,"[('good', 6), ('band', 6), ('bar', 6), ('thing', 5), ('staff', 4), ('food', 4), ('service', 4), ('live', 4), ('beer', 4), ('need', 4), ('friendly', 3), ('night', 3), ('served', 3), ('crowd', 3), ('parking', 3)]"
7,Vintner's Hill,Bars and lounges,"[('hill', 22), ('wine', 21), ('beer', 17), ('mint', 16), ('great', 15), ('food', 15), ('small', 11), ('good', 11), ('staff', 10), ('love', 9), ('tap', 9), ('service', 9), ('bar', 9), ('like', 9), ('nice', 9)]"
8,Mint Hill Madness,Entertainment services,"[('festival', 7), ('park', 5), ('hill', 4), ('mint', 4), ('rides', 4), ('good', 3), ('traffic', 3), ('hall', 3), ('parking', 3), ('event', 3), ('city', 3), ('town', 3), ('actually', 2), ('2010', 2), ('food', 2)]"
9,Tiffany's Pet Salon,Pet services,"[('great', 6), ('work', 5), ('time', 5), ('dogs', 3), ('dog', 3), ('salon', 2), ('years', 2), ('2', 2), ('house', 2), ('hard', 2), ('hair', 2), ('tiffanys', 2), ('pet', 2), ('taking', 2), ('times', 2)]"
10,Mr Inspection of Mint Hill,Automobile parts and supplies,"[('inspection', 9), ('minutes', 5), ('car', 4), ('mr', 4), ('shop', 3), ('hill', 3), ('great', 3), ('getting', 3), (""i'm"", 3), ('time', 3), ('charlotte', 3), ('need', 3), ('mint', 3), ('years', 2), ('going', 2)]"
