,Name,Type,FrequentWord
0,Machu Picchu Peruvian Cuisine & Bar,Food services,"[('food', 81), ('good', 55), ('peruvian', 54), ('service', 40), ('ceviche', 39), ('great', 35), ('chicken', 33), ('like', 32), ('restaurant', 30), ('ordered', 26), ('time', 26), ('fried', 21), ('nice', 20), ('delicious', 19), ('rice', 19)]"
1,Buca di Beppo Italian Restaurant,Food services,"[('food', 122), ('good', 75), ('service', 54), ('restaurant', 53), ('italian', 49), ('like', 48), ('family', 47), ('table', 47), ('great', 44), ('time', 42), ('buca', 39), ('order', 35), ('people', 35), ('bread', 33), ('ordered', 32)]"
2,Olive Garden Italian Restaurant,Food services,"[('food', 80), ('salad', 64), ('service', 57), ('good', 57), ('olive', 51), ('garden', 47), ('time', 45), ('said', 44), ('order', 38), ('table', 36), ('soup', 35), ('like', 34), ('came', 34), (""didn't"", 29), ('server', 28)]"
3,LensCrafters,Medical services,"[('glasses', 11), ('new', 9), ('eye', 8), ('staff', 7), ('contacts', 5), ('lenses', 5), ('doctor', 5), (""don't"", 4), ('day', 4), ('hours', 4), ('experience', 4), ('visit', 4), ('wait', 4), ('prices', 4), ('lenscrafters', 4)]"
4,Holiday Inn Express Charlotte South - Pineville,Hospitality services,"[('hotel', 10), ('staff', 5), ('nice', 5), ('great', 4), ('clean', 4), ('holiday', 3), ('inn', 3), ('stay', 3), ('rooms', 2), ('location', 2), ('friendly', 2), ('updated', 2), ('express', 2), ('restaurants', 2), ('noon', 2)]"
5,Four Points by Sheraton Charlotte - Pineville,Hospitality services,"[('room', 14), ('hotel', 13), ('great', 8), ('nice', 7), ('did', 6), ('like', 6), ('breakfast', 5), ('price', 5), ('best', 5), ('said', 5), ('area', 5), ('stay', 5), ('stayed', 4), ('clean', 4), ('staff', 4)]"
6,Hilton Garden Inn Charlotte Pineville,Hospitality services,"[('hotel', 16), ('room', 16), ('stay', 11), ('good', 8), ('staff', 6), ('garden', 6), ('hilton', 6), ('stayed', 6), ('nice', 6), ('like', 5), ('experience', 5), ('definitely', 5), ('clean', 5), (""don't"", 4), ('business', 4)]"
7,REI,sports services,"[('store', 40), ('rei', 37), ('love', 17), ('selection', 17), ('great', 15), ('service', 15), ('gear', 12), ('like', 12), ('time', 12), ('good', 11), ('customer', 10), ('outdoor', 10), ('hiking', 9), ('shoes', 8), ('return', 8)]"
8,Dick's Sporting Goods,sports services,"[('store', 20), ('watch', 12), ('good', 8), ('sporting', 8), ('told', 7), ('nicole', 7), ('staff', 6), ('customer', 6), (""dick's"", 6), ('like', 6), ('watches', 6), ('time', 6), ('band', 5), ('did', 5), ('went', 5)]"
9,Para USA,sports services,"[('para', 13), ('double', 8), ('gun', 7), ('stack', 7), ('pistol', 6), ('1911', 6), ('action', 4), ('rounds', 4), ('traditional', 4), ('lda', 3), ('good', 3), ('remington', 3), ('owned', 3), ('ordnance', 3), ('single', 3)]"
