,Name,Type,FrequentWord
0,Maxwell's Tavern,Food services,"[('good', 93), ('great', 86), ('food', 74), ('service', 47), (""maxwell's"", 47), ('wait', 42), ('burger', 42), ('waxhaw', 39), ('time', 31), ('tavern', 30), ('menu', 28), ('beer', 26), ('lunch', 26), ('nice', 26), ('salad', 24)]"
1,Stack's Kitchen,Food services,"[('breakfast', 61), ('food', 54), ('great', 47), ('good', 44), ('service', 29), ('wait', 26), ('stacks', 26), ('time', 23), ('eggs', 21), ('toast', 21), ('fresh', 20), ('pancakes', 19), ('french', 17), ('like', 17), ('lunch', 16)]"
2,Waxhaw Farmers' Market,Food services,"[('market', 7), ('fresh', 7), ('soap', 5), ('new', 5), ('blueberry', 5), ('meats', 4), ('eggs', 4), ('produce', 4), ('waxhaw', 3), ('milk', 3), ('location', 3), ('folks', 3), ('local', 3), ('truly', 3), (""stewart's"", 3)]"
3,The Color Bar Hair Salon and Day Spa,Grooming services,"[('hair', 43), ('color', 23), ('lisa', 19), ('salon', 16), ('time', 15), ('wanted', 13), ('like', 11), ('card', 10), ('price', 10), ('came', 10), ('stylist', 10), ('told', 9), ('crystal', 9), ('$42', 7), ('did', 7)]"
4,Bubbly Nails,Grooming services,"[('great', 10), ('nails', 8), ('time', 7), ('like', 6), ('nail', 6), ('salon', 5), ('gel', 5), ('pedi', 5), ('service', 5), ('staff', 4), ('friendly', 4), ('did', 4), ('mani', 4), ('love', 4), ('tech', 4)]"
5,Iconic Nail Spa,Grooming services,"[('service', 9), ('time', 9), ('did', 7), ('job', 7), ('nail', 7), ('polish', 4), ('pedicure', 4), ('experience', 4), ('feet', 4), ('rushed', 4), ('customer', 4), ('clean', 4), ('busy', 3), ('good', 3), ('appointment', 3)]"
6,Firethorne Country Club,Entertainment services,"[('country', 5), ('club', 5), ('staff', 4), ('great', 4), ('grumpy', 4), ('member', 3), ('kept', 3), ('wedding', 2), ('buddy', 2), ('bar', 2), ('did', 2), ('set', 2), ('simply', 2), ('table', 2), ('amazing', 2)]"
7,Harris Teeter,"Shops, stores and markets","[('pizza', 13), ('great', 7), ('store', 7), ('teeter', 7), ('harris', 7), ('help', 5), ('staff', 4), ('fruit', 4), ('helpful', 4), ('best', 4), ('employees', 4), ('usually', 4), ('tart', 4), ('waxhaw', 3), ('birthday', 3)]"
8,Lowe's of Waxhaw,"Shops, stores and markets","[('home', 5), ('help', 3), ('friendly', 3), ('lot', 3), ('store', 3), ('buy', 3), ('dept', 3), ('switches', 2), ('feel', 2), ('blue', 2), ('walk', 2), ('service', 2), ('paint', 2), ('white', 2), ('needs', 2)]"
9,Waxhaw Furniture Factory Outlet World,"Shops, stores and markets","[('furniture', 11), ('price', 5), (""don't"", 4), ('great', 4), ('quite', 3), ('quality', 3), ('low', 3), ('look', 3), ('pieces', 3), ('huge', 3), ('warehouse', 3), ('outlet', 3), ('selection', 2), ('saved', 2), ('drive', 2)]"
10,Goodyear Hook Tire & Service,Automobile parts and supplies,"[('vehicle', 5), ('shop', 2), ('good', 2), ('service', 2), ('honest', 2), (""would've"", 2), ('repair', 2), ('make', 2), ('person', 2), ('tech', 2), ('help', 1), ('money', 1), (""should've"", 1), (""me.also'they"", 1), ('years', 1)]"
11,Klas Premier Mobile Detail,Automobile parts and supplies,"[('matt', 31), ('car', 27), ('job', 12), ('did', 11), ('detailing', 11), ('new', 8), ('looks', 7), ('recommend', 6), ('kids', 5), ('work', 5), ('took', 5), ('professional', 5), ('results', 4), ('hours', 4), ('use', 4)]"
12,Summerfield Tire and Service,Automobile parts and supplies,"[('time', 9), ('service', 8), ('car', 8), ('tire', 7), ('work', 7), ('summerfield', 6), ('told', 5), ('great', 5), ('plate', 4), ('did', 4), ('hours', 4), ('took', 4), ('vehicles', 4), ('friendly', 3), ('good', 3)]"
13,Union County Cane Creek Park,Health and fitness services,"[('park', 8), ('great', 6), ('nice', 5), ('summer', 4), ('activities', 3), ('family', 3), ('area', 3), ('lot', 3), ('canoe', 3), ('course', 2), ('bike', 2), ('areas', 2), ('picnic', 2), ('trails', 2), ('camping', 2)]"
14,Cane Creek Park Campground,Health and fitness services,"[('park', 8), ('great', 7), ('day', 5), ('fall', 4), ('trails', 4), ('water', 4), ('pay', 4), ('family', 3), ('area', 3), ('thanks', 2), ('lake', 2), ('swim', 2), ('good', 2), ('like', 2), ('went', 2)]"
15,Autobell Car Wash,handyman services,"[('car', 19), ('wash', 8), ('like', 6), ('home', 6), ('clean', 6), ('vacuum', 5), (""i'm"", 5), ('service', 5), ('sure', 5), ('time', 5), (""don't"", 4), ('good', 4), ('did', 4), ('used', 4), ('job', 4)]"
16,Circuit Works,handyman services,"[('work', 7), ('electrical', 5), ('highly', 4), ('company', 4), ('rob', 3), ('works', 3), ('circuit', 3), ('recommend', 3), ('light', 3), ('professional', 3), ('team', 2), ('business', 2), ('job', 2), ('experience', 2), ('electrician', 2)]"
17,Fatman Faucet & Toilet Plumbing Repair,handyman services,"[('plumbing', 11), ('repairs', 5), ('honest', 5), ('highly', 5), ('like', 4), ('did', 4), ('feel', 4), ('fatman', 4), ('recommend', 4), ('man', 4), ('time', 4), ('felt', 3), ('gave', 3), ('hours', 3), ('chris', 3)]"
